proper_star_name	parsecs_from_earth	light_years_from_earth	constellation_full_name	apparent_magnitude
	380.2281	1240.1367618359998	Cepheus	8.66
	45.5373	148.522636188	Pegasus	10.35
	139.2758	454.256378248		5.13
	265.252	865.13531312	Sculptor	8.96
	100000.0	326156.0	Pegasus	8.49
	45.5166	148.45512189599998	Pegasus	11.26
	256.4103	836.297578068	Pegasus	8.15
	121.5067	396.30139245199996	Sculptor	7.04
	189.3939	617.719568484	Sculptor	10.02
	177.305	578.2908957999999	Pegasus	8.9
	135.8696	443.14685257599996	Phoenix	7.78
	132.4503	431.994600468		4.37
	312.5	1019.2375	Andromeda	9.93
	298.5075	973.6001216999999	Cassiopeia	8.6
	176.6784	576.247202304		8.51
	153.6098	501.007579288	Sculptor	7.09
	62.461	203.72029916		6.93
	467.2897	1524.0933939319998	Tucana	8.68
	621.118	2025.81362408	Andromeda	8.98
	390.625	1274.046875	Pegasus	9.84
	262.4672	856.0525208319999	Sculptor	8.98
	289.0173	942.6472649879998	Cassiopeia	7.98
	763.3588	2489.740527728	Cetus	10.16
	106.6098	347.714259288	Phoenix	8.86
	230.4147	751.511368932	Andromeda	8.58
	699.3007	2280.8111910919997		9.56
	15.328	49.993191679999995	Tucana	9.24
	212.3142	692.475502152	Cetus	9.63
	12.1699	39.692859043999995	Pegasus	5.8
	877.193	2861.0176010799996	Cepheus	9.05
	380.2281	1240.1367618359998	Andromeda	8.45
	211.8644	691.0084524639999	Cassiopeia	8.86
	221.2389	721.583946684	Cassiopeia	7.84
	215.9827	704.4405350119999	Andromeda	8.86
	238.0952	776.5617805119999	Cetus	8.93
	108.8139	354.903063684	Sculptor	7.97
	65.2742	212.89571975199996	Cetus	6.9
	286.533	934.54457148	Cetus	8.47
	363.6364	1186.0219367839998	Cassiopeia	6.77
	431.0345	1405.84488382	Cassiopeia	8.55
	154.0832	502.551601792	Sculptor	5.04
	31.1915	101.73294874	Pegasus	8.48
	77.3994	252.442787064	Pegasus	8.53
	122.8501	400.68297215599995		6.33
	128.7001	419.76309815599996		8.99
	100.5025	327.7949339		8.64
	406.5041	1325.837512396	Cassiopeia	9.55
	87.4891	285.35094899599994	Pegasus	8.74
	38.373	125.15584187999998	Phoenix	12.43
	272.4796	888.708564176		8.16
	220.7506	719.991326936	Sculptor	9.46
	36.9004	120.35286862399998		5.7
	117.6471	383.713075476	Andromeda	7.62
	100000.0	326156.0	Cassiopeia	8.95
	714.2857	2329.6856676919997	Andromeda	8.97
	222.2222	724.7910386319999	Pegasus	8.94
	254.4529	829.9134005239999	Pegasus	7.24
	258.3979	842.780254724	Sculptor	10.32
	92.1659	300.60461280399994	Pegasus	8.24
	689.6552	2249.351814112	Cassiopeia	8.62
	390.625	1274.046875	Cetus	9.18
	657.8947	2145.7630377319997	Phoenix	8.53
	124.6883	406.67837174799996		8.54
	103.9501	339.039488156	Pegasus	8.56
	293.2551	956.469103956	Tucana	9.41
	100000.0	326156.0	Cassiopeia	5.87
	100000.0	326156.0	Cassiopeia	7.2
	134.7709	439.563376604	Cetus	9.05
	196.0784	639.5214663039999	Sculptor	9.52
	193.7984	632.0851095039999	Sculptor	10.24
	143.6782	468.615069992	Cassiopeia	7.7
	265.252	865.13531312	Pegasus	8.17
	350.8772	1144.407040432	Cepheus	7.29
	458.7156	1496.1284523359998	Cepheus	9.26
	258.3979	842.780254724	Andromeda	7.94
	355.8719	1160.697554164	Phoenix	8.42
	98.2318	320.388909608		8.56
	176.3668	575.230900208	Andromeda	7.52
	148.8095	485.35111282	Cepheus	7.74
	421.9409	1376.185561804	Phoenix	8.85
	347.2222	1132.486038632		9.01
	42.6257	139.02627809199998		7.17
	116.5501	380.13514415599997	Cetus	9.04
	100000.0	326156.0	Sculptor	10.3
	87.26	284.6037256	Cepheus	9.86
	100.8065	328.78644814	Pegasus	7.64
	350.8772	1144.407040432	Andromeda	8.27
	131.406	428.58855336	Pegasus	8.44
	284.0909	926.5795158039998	Tucana	9.58
	184.5018	601.763690808	Sculptor	8.43
	336.7003	1098.168230468	Cepheus	8.49
	490.1961	1598.8039919159999	Cepheus	9.64
	294.9853	962.112255068	Cepheus	9.17
	367.6471	1199.103075476		8.09
	157.9779	515.254399524	Phoenix	9.0
	61.1621	199.483858876	Cetus	6.25
	166.113	541.78751628		8.56
	296.7359	967.821942004		10.81
	271.0027	883.8915662119999		8.76
	142.4501	464.60954815599996	Sculptor	7.76
	305.8104	997.418968224	Tucana	7.82
	265.252	865.13531312	Andromeda	7.9
	225.7336	736.243680416	Cetus	8.52
	55.4939	180.99668448399999	Cassiopeia	9.73
	184.1621	600.655738876		9.19
	110.742	361.19167752		8.1
	80.9061	263.880099516	Pegasus	8.75
	249.3766	813.3567434959999	Cassiopeia	8.14
	100000.0	326156.0	Sculptor	8.65
	100000.0	326156.0	Pegasus	10.3
	203.666	664.2688789599999	Cetus	6.46
	162.3377	529.474148812	Andromeda	6.73
	91.7431	299.225625236	Cetus	7.96
	224.7191	732.9348277959999	Cassiopeia	9.53
	212.766	693.94907496	Sculptor	8.87
	171.5266	559.444297496	Pegasus	6.59
	436.6812	1424.2619346719998	Cassiopeia	8.65
	166.3894	542.6890114639999	Phoenix	9.64
	200.8032	654.931684992	Cetus	9.15
	181.4882	591.934653592	Andromeda	9.04
	29.2056	95.255816736		12.04
	254.4529	829.9134005239999	Andromeda	8.42
	331.1258	1079.9866642480001	Cetus	8.09
	100000.0	326156.0	Tucana	9.06
	98.5222	321.336066632		8.09
	100000.0	326156.0	Cassiopeia	8.18
	324.6753	1058.9479714679999	Pegasus	8.77
	210.084	685.20157104	Cepheus	7.36
	202.0202	658.9010035119999	Sculptor	9.16
	409.8361	1336.705030316	Sculptor	8.82
	751.8797	2452.3007543319995	Phoenix	11.14
	763.3588	2489.740527728	Cassiopeia	6.24
	168.3502	549.0842783119999	Sculptor	9.44
	58.1734	189.736034504	Pegasus	7.49
	65.6168	214.01313020799998	Sculptor	6.96
	636.9427	2077.4268326119995	Cassiopeia	7.94
	100000.0	326156.0	Cassiopeia	8.69
	256.4103	836.297578068	Cassiopeia	8.15
	404.8583	1320.4696369479998	Cassiopeia	8.45
	606.0606	1976.703010536	Pegasus	7.92
	144.5087	471.323795572	Pegasus	7.45
	645.1613	2104.2322896279998	Tucana	9.01
	970.8738	3166.563151128	Sculptor	8.55
	100000.0	326156.0	Cepheus	9.23
	518.1347	1689.9274121319997	Cetus	9.16
	169.2047	551.871281332	Andromeda	7.9
	295.858	964.9586184799999	Phoenix	8.68
	64.8088	211.377789728	Sculptor	7.78
	476.1905	1553.1238871799999	Sculptor	8.21
	362.3188	1181.7245053279999	Cepheus	8.11
	82.9187	270.44431517199996	Phoenix	8.29
	120.048	391.54375488		7.89
	335.5705	1094.4833199799998	Phoenix	9.67
	38.9105	126.90893037999999	Sculptor	8.24
	137.931	449.87023236	Andromeda	6.8
	409.8361	1336.705030316	Pegasus	8.18
	108.6957	354.51754729199996	Tucana	8.44
	83.4725	272.25056709999996	Cetus	4.55
	150.3759	490.460020404	Andromeda	7.45
	265.9574	867.4360175439999	Cepheus	6.31
	205.7613	671.102825628	Cassiopeia	8.15
	183.4862	598.451250472	Pegasus	8.27
